word,language,part_of_speech,category,meaning_en,meaning_ja,example
salawal,ceb,noun,clothing_everyday,pants / trousers,ズボン,
saya,ceb,noun,clothing_everyday,skirt,スカート,
damit,ceb,noun,clothing_everyday,clothes / clothing,拭く,
panapton,ceb,noun,clothing_everyday,cloth / fabric,布,
underwear,ceb,noun,clothing_everyday,underwear,下着,
medyas,ceb,noun,clothing_everyday,socks,靴下,
barong,ceb,noun,clothing_traditional,barong Tagalog formal shirt,バロン,
terno,ceb,noun,clothing_traditional,formal dress,フォーマルドレス,
malong,ceb,noun,clothing_traditional,traditional wrap garment,マロング,
sombrero,ceb,noun,clothing_accessories,hat,帽子,
bag,ceb,noun,clothing_accessories,bag,鞄,
relo,ceb,noun,clothing_accessories,watch / clock,時計,
belt,ceb,noun,clothing_accessories,belt,ベルト,
alahas,ceb,noun,clothing_accessories,jewelry,アクセサリー,
hikaw,ceb,noun,clothing_accessories,earrings,イヤリング,
kuwintas,ceb,noun,clothing_accessories,necklace,ネックレス,
singsing,ceb,noun,clothing_accessories,ring,指輪,
dyipney,ceb,noun,transport_land,jeepney,ジープニー,
bus,ceb,noun,transport_land,bus,バス,
trisiklo,ceb,noun,transport_land,tricycle,トライシクル,
motor,ceb,noun,transport_land,motorcycle,バイク,
sakyanan,ceb,noun,transport_land,vehicle / car,車,
bisikleta,ceb,noun,transport_land,bicycle,自転車,
padyak,ceb,noun,transport_land,pedicab,ペディキャブ,
tren,ceb,noun,transport_land,train,電車,
taxi,ceb,noun,transport_land,taxi,タクシー,
barko,ceb,noun,transport_sea,ship / boat,船,
bangka,ceb,noun,transport_sea,small outrigger boat,小舟,
pantalan,ceb,noun,transport_sea,port / pier,港,
ferry,ceb,noun,transport_sea,ferry,フェリー,
eroplano,ceb,noun,transport_air,airplane,飛行機,
airport,ceb,noun,transport_air,airport,空港,
helikopter,ceb,noun,transport_air,helicopter,ヘリコプター,
balay,ceb,noun,places_home,house / home,家,
kwarto,ceb,noun,places_home,room,部屋,
sala,ceb,noun,places_home,living room,リビング,
kusina,ceb,noun,places_home,kitchen,台所,
banyo,ceb,noun,places_home,bathroom / toilet,トイレ,
ganghaan,ceb,noun,places_home,door,ドア,
bintana,ceb,noun,places_home,window,窓,
atop,ceb,noun,places_home,roof,屋根,
koral,ceb,noun,places_home,fence / yard,囲い,
silong,ceb,noun,places_home,space under house,家の下,
eskwelahan,ceb,noun,places_community,school,学校,
simbahan,ceb,noun,places_community,church,教会,
palengke,ceb,noun,places_community,market,市場,
ospital,ceb,noun,places_community,hospital,病院,
opisina,ceb,noun,places_community,office,オフィス,
parke,ceb,noun,places_community,park,公園,
dalan,ceb,noun,places_community,road / street,道,
tulay,ceb,noun,places_community,bridge,橋,
baryos,ceb,noun,places_community,village / barangay,村,
bangko,ceb,noun,places_commercial,bank,銀行,
tindahan,ceb,noun,places_commercial,store / shop,店,
hotel,ceb,noun,places_commercial,hotel,ホテル,
restaurant,ceb,noun,places_commercial,restaurant,レストラン,
mall,ceb,noun,places_commercial,mall / shopping center,ショッピングモール,
polisya,ceb,noun,places_government,police station,警察署,
gobiyerno,ceb,noun,places_government,government building,政府,
munisipyo,ceb,noun,places_government,municipal hall,役所,
bukid,ceb,noun,places_nature_spots,mountain for hiking,ハイキングやま,
baybay,ceb,noun,places_nature_spots,beach / resort area,ビーチ,
park,ceb,noun,places_nature_spots,nature park,自然公園,
buntag,ceb,noun,time_clock,morning,朝,
gabii,ceb,noun,time_clock,night,夜,
hapon,ceb,noun,time_clock,afternoon,午後,
oras,ceb,noun,time_clock,hour,時間,
minuto,ceb,noun,time_clock,minute,分,
segundo,ceb,noun,time_clock,second (time),秒,
adlaw,ceb,noun,time_clock,day / daytime,日・昼間,
kagahapnon,ceb,noun,time_clock,early evening / dusk,黄昏,
Lunes,ceb,noun,time_days_months,Monday,月曜日,
Martes,ceb,noun,time_days_months,Tuesday,火曜日,
Miyerkoles,ceb,noun,time_days_months,Wednesday,水曜日,
Huwebes,ceb,noun,time_days_months,Thursday,木曜日,
Biyernes,ceb,noun,time_days_months,Friday,金曜日,
Sabado,ceb,noun,time_days_months,Saturday,土曜日,
Domingo,ceb,noun,time_days_months,Sunday,日曜日,
semana,ceb,noun,time_days_months,week,週,
katapusan sa semana,ceb,noun,time_days_months,weekend,週末,
Enero,ceb,noun,time_days_months,January,一月,
Pebrero,ceb,noun,time_days_months,February,二月,
Marso,ceb,noun,time_days_months,March,三月,
Abril,ceb,noun,time_days_months,April,四月,
Mayo,ceb,noun,time_days_months,May,五月,
Hunyo,ceb,noun,time_days_months,June,六月,
Hulyo,ceb,noun,time_days_months,July,七月,
Agosto,ceb,noun,time_days_months,August,八月,
Setyembre,ceb,noun,time_days_months,September,九月,
Oktubre,ceb,noun,time_days_months,October,十月,
Nobiyembre,ceb,noun,time_days_months,November,十一月,
Disyembre,ceb,noun,time_days_months,December,十二月,
tuig,ceb,noun,time_days_months,year,年,
bulan,ceb,noun,time_days_months,month,月,
ugma,ceb,noun,time_relative,tomorrow,明日,
gahapon,ceb,noun,time_relative,yesterday,昨日,
karon,ceb,adverb,time_relative,now / today,今,
kagabii,ceb,noun,time_of_day,last night,夕べ,
karong adlawa,ceb,noun,time_relative,today,今日,
sunod nga semana,ceb,noun,time_relative,next week,来週,
miaging semana,ceb,noun,time_relative,last week,先週,
kaniadto,ceb,adverb,time_relative,in the past,昔,
sa umaabot,ceb,adverb,time_relative,in the future,将来,
kanunay,ceb,adverb,time_frequency,always,いつも,
usahay,ceb,adverb,time_frequency,sometimes,時々,
pirme,ceb,adverb,time_frequency,always / regularly,常に,
sa matag adlaw,ceb,adverb,time_frequency,every day,毎日,
sa matag semana,ceb,adverb,time_frequency,every week,毎週,
sa matag bulan,ceb,adverb,time_frequency,every month,毎月,
karaon,ceb,adverb,time_frequency,seldom / rarely,めったに,
wala gyud,ceb,adverb,time_frequency,never,決してない,
maayong buntag,ceb,interjection,greetings,good morning,おはようございます,
maayong hapon,ceb,interjection,greetings,good afternoon,こんにちは,
maayong gabii,ceb,interjection,greetings,good evening,こんばんは,
kumusta,ceb,interjection,greetings,how are you,お元気ですか,
salamat,ceb,interjection,greetings,thank you,ありがとう,
palihog,ceb,interjection,greetings,please,お願いします,
pasaylo,ceb,interjection,greetings,sorry / excuse me,すみません,
oo,ceb,interjection,greetings,yes,肺,
dili,ceb,adverb,greetings,no,いいえ,
sige,ceb,interjection,greetings,okay / go ahead,いいよ,
pag-ayo-ayo,ceb,interjection,greetings,take care / get well,お大事に,
maligayang pagbabalik,ceb,interjection,greetings,welcome back,おかえりなさい,
ingon ana,ceb,interjection,greetings,I see / is that so,そうですか,
padayon,ceb,interjection,greetings,continue / go on,続けてください,
halika na,ceb,interjection,greetings,come here / lets go,きて,
Diyos,ceb,noun,religion_christian,God,神・神様,
Hesus,ceb,noun,religion_christian,Jesus,イエス,
Birhen,ceb,noun,religion_christian,Virgin Mary,おとめマリア,
pari,ceb,noun,religion_christian,priest,神父,
simbahan,ceb,noun,religion_christian,church,教会,
misa,ceb,noun,religion_christian,Catholic mass,ミサ,
pag-ampo,ceb,noun,religion_christian,prayer,祈り,
Pasko,ceb,noun,religion_christian,Christmas,クリスマス,
Paskwa,ceb,noun,religion_christian,Easter,イースター,
pastor,ceb,noun,religion_christian,pastor,牧師,
santo,ceb,noun,religion_christian,saint,聖人,
relihiyon,ceb,noun,religion_christian,religion,宗教,
kalinaw,ceb,noun,religion_christian,peace,平和,
aswang,ceb,noun,religion_traditional,evil spirit / monster,アスワング,
diwata,ceb,noun,religion_traditional,nature spirit / deity,ディワタ,
salamangka,ceb,noun,religion_traditional,magic / sorcery,魔法,
albularyo,ceb,noun,religion_traditional,folk healer,民間医療師,
manggagamot,ceb,noun,religion_traditional,healer,癒し師,
engkanto,ceb,noun,religion_traditional,fairy / enchanted being,エンカント・ようせい,
tikbalang,ceb,noun,religion_traditional,half-man half-horse spirit,ティクバラン,
kapre,ceb,noun,religion_traditional,giant tree spirit,カプレ,
multo,ceb,noun,religion_traditional,ghost,幽霊,
libro,ceb,noun,education_school,book,本,
papel,ceb,noun,education_school,paper,紙,
lapis,ceb,noun,education_school,pencil,鉛筆,
bolpen,ceb,noun,education_school,ballpoint pen,ボールペン,
klase,ceb,noun,education_school,class,授業,
leksyon,ceb,noun,education_school,lesson,レッスン,
eksamen,ceb,noun,education_school,exam / test,試験,
grado,ceb,noun,education_school,grade,成績,
diploma,ceb,noun,education_school,diploma,卒業証書,
unibersidad,ceb,noun,education_school,university,大学,
maestro,ceb,noun,education_school,male teacher,男性教師,
maestra,ceb,noun,education_school,female teacher,女性教師,
principal,ceb,noun,education_school,school principal,校長,
impormasyon,ceb,noun,education_school,information,情報,
kasaysayan,ceb,noun,education_school,history,歴史,
agham,ceb,noun,education_school,science,科学,
matematika,ceb,noun,education_school,mathematics,数学,
sining,ceb,noun,education_school,art,芸術,
musika,ceb,noun,education_school,music,音楽,
edukasyon,ceb,noun,education_school,education,教育,
buhatan,ceb,noun,education_school,assignment / homework,宿題,
resulta,ceb,noun,education_school,result,結果,
proseso,ceb,noun,education_school,process,プロセス,
letra,ceb,noun,education_school,letter / alphabet,文字,
pulong,ceb,noun,education_school,word,言葉,
balaod,ceb,noun,government_law,law,法律,
korte,ceb,noun,government_law,court,裁判所,
presidente,ceb,noun,government_law,president,大統領,
mayor,ceb,noun,government_law,mayor,市長,
boto,ceb,noun,government_law,vote,投票,
eleksyon,ceb,noun,government_law,election,選挙,
konstitusyon,ceb,noun,government_law,constitution,憲法,
katungod,ceb,noun,government_law,right / authority,権利,
obligasyon,ceb,noun,government_law,obligation,義務,
buhis,ceb,noun,government_law,tax,税金,
lisensya,ceb,noun,government_law,license,免許,
hustisya,ceb,noun,government_law,justice,正義,
katarong,ceb,noun,government_law,righteousness,正しさ,
kalamboan,ceb,noun,government_law,development / progress,発展,
opisyal,ceb,noun,government_law,official,官僚,
presyo,ceb,noun,business_commerce,price,値段,
bayad,ceb,noun,business_commerce,payment,支払い,
piso,ceb,noun,business_commerce,peso,ペソ,
kita,ceb,noun,business_commerce,income / earnings,収入,
negosyo,ceb,noun,business_commerce,business,ビジネス,
kompanya,ceb,noun,business_commerce,company,会社,
produkto,ceb,noun,business_commerce,product,製品,
diskwento,ceb,noun,business_commerce,discount,割引,
salapi,ceb,noun,business_commerce,money,お金,
kwarta,ceb,noun,business_commerce,money (colloquial),お金（口語）,
utang,ceb,noun,business_commerce,debt / loan,借金,
sinuweldo,ceb,noun,business_commerce,salary / wages,給料,
trabaho,ceb,noun,business_commerce,job / work,仕事,
kontrata,ceb,noun,business_commerce,contract,契約,
serbisyo,ceb,noun,business_commerce,service,サービス,
palita,ceb,noun,business_commerce,purchase,購入,
baligya,ceb,noun,business_commerce,sale,販売,
telepono,ceb,noun,technology_general,telephone,電話,
cellphone,ceb,noun,technology_general,cellphone,携帯電話,
internet,ceb,noun,technology_general,internet,インターネット,
computer,ceb,noun,technology_general,computer,コンピュータ,
TV,ceb,noun,technology_general,television,テレビ,
radyo,ceb,noun,technology_general,radio,ラジオ,
mensahe,ceb,noun,technology_general,message,メッセージ,
password,ceb,noun,technology_general,password,パスワード,
sosyal medya,ceb,noun,technology_general,social media,ソーシャルメディア,
sistema,ceb,noun,technology_general,system,システム,
aplikasyon,ceb,noun,technology_general,application / app,アプリ,
website,ceb,noun,technology_general,website,ウェブサイト,
email,ceb,noun,technology_general,email,メール,
kuryente,ceb,noun,technology_general,electricity,電気,
baterya,ceb,noun,technology_general,battery,電池,
signal,ceb,noun,technology_general,signal,信号,
laro,ceb,noun,sports_local,game / play,遊び,
basketbol,ceb,noun,sports_local,basketball,バスケットボール,
volleyball,ceb,noun,sports_local,volleyball,バレーボール,
swimming,ceb,noun,sports_local,swimming,水泳,
sipa,ceb,noun,sports_local,kick sport,シパ,
lumba,ceb,noun,sports_local,race / competition,競争,
football,ceb,noun,sports_local,football / soccer,サッカー,
baseball,ceb,noun,sports_local,baseball,野球,
awit,ceb,noun,music_arts,song / singing,歌,
sayaw,ceb,noun,music_arts,dance,踊り,
musika,ceb,noun,music_arts,music,音楽,
gitara,ceb,noun,music_arts,guitar,ギター,
pinta,ceb,noun,music_arts,painting / art,絵画,
sugilanon,ceb,noun,music_arts,story / narrative,物語,
balak,ceb,noun,music_arts,poem,詩,
drama,ceb,noun,music_arts,drama / play,ドラマ,
sine,ceb,noun,music_arts,movie / cinema,映画,
pelikula,ceb,noun,music_arts,film,映画,
larawan,ceb,noun,music_arts,picture / photo,写真,
pista,ceb,noun,festivals_events,feast / festival,祭り,
Sinulog,ceb,noun,festivals_events,Sinulog festival (Cebu),シヌログ,
fiesta,ceb,noun,festivals_events,town fiesta,フィエスタ,
Kadaugan sa Mactan,ceb,noun,festivals_events,Mactan victory celebration,マクタンの勝利祝い,
kultura,ceb,noun,festivals_events,culture,文化,
tradisyon,ceb,noun,festivals_events,tradition,伝統,
bayanihan,ceb,noun,superstitions,community cooperation,バヤニハン,
utang nga loob,ceb,noun,superstitions,debt of gratitude,恩義,
hiya,ceb,noun,superstitions,shame / face,恥,
hilot,ceb,noun,superstitions,traditional healer / massage,ヒロット,
bantay,ceb,noun,superstitions,guardian spirit,守り神,
bangka,ceb,noun,sea_culture,outrigger boat,アウトリガーボート,
balangay,ceb,noun,sea_culture,traditional boat,バランガイ,
kadagatan,ceb,noun,sea_culture,the sea (poetic),海（詩的）,
pukot,ceb,noun,sea_culture,fishing net,網,
pantalan,ceb,noun,sea_culture,pier / dock,埠頭,
mangingisda,ceb,noun,sea_culture,fisherman,漁師,
dagat,ceb,noun,sea_culture,sea / ocean,海,
tidal wave,ceb,noun,sea_culture,tidal wave / tsunami,つなみ,
palayan,ceb,noun,agriculture_culture,rice field / paddy,田んぼ,
palay,ceb,noun,agriculture_culture,rice plant / unmilled rice,稲,
kamaisan,ceb,noun,agriculture_culture,cornfield,とうもろこし畑,
abono,ceb,noun,agriculture_culture,fertilizer,肥料,
irigasyon,ceb,noun,agriculture_culture,irrigation,灌漑,
traktor,ceb,noun,agriculture_culture,tractor,トラクター,
ani,ceb,noun,agriculture_culture,harvest,収穫,
binhi,ceb,noun,agriculture_culture,seed,種,
tanom,ceb,noun,agriculture_culture,plant / planted crop,植えたもの,
uma,ceb,noun,agriculture_culture,farm / farmland,農場,
sunog,ceb,noun,disaster_terms,fire (disaster),火災・火事,
rescue,ceb,noun,disaster_terms,rescue,救助,
likas,ceb,noun,disaster_terms,evacuation,避難,
kalayo,ceb,noun,disaster_terms,fire,火,
polusyon,ceb,noun,environment_ecology,pollution,汚染,
basura,ceb,noun,environment_ecology,garbage / trash,ごみ,
kalibutan,ceb,noun,environment_ecology,world / earth,地球,
kinaiyahan,ceb,noun,environment_ecology,nature / environment,自然,
klima,ceb,noun,environment_ecology,climate,気候,
pag-usab sa klima,ceb,noun,environment_ecology,climate change,気候変動,
tanom,ceb,noun,environment_ecology,plant (ecology),植物,
kahoy,ceb,noun,environment_ecology,tree (ecology),木,
dako,ceb,adjective,adj_size_shape,big / large,大きい,
gamay,ceb,adjective,adj_size_shape,small / little,小さい,
taas,ceb,adjective,adj_size_shape,tall / long / high,高い,
mubo,ceb,adjective,adj_size_shape,short / low,短い・低い,
baga,ceb,adjective,adj_size_shape,thick / fat,厚い・太い,
nipis,ceb,adjective,adj_size_shape,thin,薄い,
mabug-at,ceb,adjective,adj_size_shape,heavy,重い,
magaan,ceb,adjective,adj_size_shape,light (weight),軽い,
lapad,ceb,adjective,adj_size_shape,wide / broad,広い,
pig-ot,ceb,adjective,adj_size_shape,narrow,狭い,
halaba,ceb,adjective,adj_size_shape,long (length/duration),長い,
pabilin,ceb,adjective,adj_size_shape,round / circular,丸い,
pula,ceb,adjective,adj_colors,red,あか,
asul,ceb,adjective,adj_colors,blue,あお,
berde,ceb,adjective,adj_colors,green,みどり,
dalag,ceb,adjective,adj_colors,yellow,きいろ,
puti,ceb,adjective,adj_colors,white,しろ,
itom,ceb,adjective,adj_colors,black,くろ,
abohon,ceb,adjective,adj_colors,gray,灰色,
brown,ceb,adjective,adj_colors,brown,ちゃいろ,
orange,ceb,adjective,adj_colors,orange,オレンジ,
ube,ceb,adjective,adj_colors,purple,紫,
rosas,ceb,adjective,adj_colors,pink,ピンク,
mapula,ceb,adjective,adj_colors,reddish,赤みがかった,
humok,ceb,adjective,adj_texture,soft,柔らかい,
gahi,ceb,adjective,adj_texture,hard / tough,かたい,
basa,ceb,adjective,adj_texture,wet,濡れた,
mamala,ceb,adjective,adj_texture,dry,かわいた,
hamis,ceb,adjective,adj_texture,smooth,滑らか,
gabok,ceb,adjective,adj_texture,rough / crumbly,ざらざら,
maputon,ceb,adjective,adj_texture,sticky,べたべた,
matam-is,ceb,adjective,adj_taste_smell,sweet,あまい,
mapait,ceb,adjective,adj_taste_smell,bitter,にがい,
maasin,ceb,adjective,adj_taste_smell,salty,塩辛い,
maaslom,ceb,adjective,adj_taste_smell,sour,酸っぱい,
humot,ceb,adjective,adj_taste_smell,fragrant,良い匂い,
mabaho,ceb,adjective,adj_taste_smell,smelly / bad smell,くさい,
maanghang,ceb,adjective,adj_taste_smell,spicy,からい,
matam-is na pait,ceb,adjective,adj_taste_smell,bittersweet,甘苦い,
init,ceb,adjective,adj_temperature,hot,あつい,
bugnaw,ceb,adjective,adj_temperature,cold,寒い・冷たい,
presko,ceb,adjective,adj_temperature,fresh / cool,涼しい,
mainit,ceb,adjective,adj_temperature,warm,温かい,
bag-o,ceb,adjective,adj_physical_state,new,新しい,
daan,ceb,adjective,adj_physical_state,old / used,古い,
puno,ceb,adjective,adj_physical_state,full,いっぱい,
bukas,ceb,adjective,adj_physical_state,open,開いた,
sirado,ceb,adjective,adj_physical_state,closed,閉まった,
buhi,ceb,adjective,adj_physical_state,alive,生きている,
patay,ceb,adjective,adj_physical_state,dead,死んでいる,
malisod,ceb,adjective,adj_physical_state,difficult / hard,難しい,
sayon,ceb,adjective,adj_physical_state,easy,易しい・簡単,
natural,ceb,adjective,adj_physical_state,natural,自然な,
artipisiyal,ceb,adjective,adj_physical_state,artificial,人工的な,
maayo,ceb,adjective,adj_character_good,good / well,良い,
buotan,ceb,adjective,adj_character_good,kind / obedient,優しい・おとなしい,
matinahuron,ceb,adjective,adj_character_good,respectful,丁寧な,
maisog,ceb,adjective,adj_character_good,brave,勇敢な,
mapainubsanon,ceb,adjective,adj_character_good,humble,謙虚な,
matinabangon,ceb,adjective,adj_character_good,helpful,助けになる,
tinuod,ceb,adjective,adj_character_good,true / real / genuine,本当の,
husto,ceb,adjective,adj_character_good,correct / right,正しい,
luwas,ceb,adjective,adj_character_good,safe,安全な,
importante,ceb,adjective,adj_character_good,important,重要な,
mapuslanon,ceb,adjective,adj_character_good,useful,役に立つ,
espesyal,ceb,adjective,adj_character_good,special,特別な,
daotan,ceb,adjective,adj_character_neg,bad / evil,悪い,
tapolan,ceb,adjective,adj_character_neg,lazy,怠け者,
mapintas,ceb,adjective,adj_character_neg,cruel,残酷な,
bakak,ceb,adjective,adj_character_neg,lying / dishonest,嘘つき,
sayop,ceb,adjective,adj_character_neg,wrong / incorrect,間違い,
delikado,ceb,adjective,adj_character_neg,dangerous,危険な,
walay pulos,ceb,adjective,adj_character_neg,useless,役に立たない,
maalamon,ceb,adjective,adj_intelligence,wise / intelligent,賢い,
masubsob,ceb,adjective,adj_intelligence,hardworking / diligent,勤勉な,
pursigido,ceb,adjective,adj_intelligence,determined / hardworking,一生懸命な,
bobo,ceb,adjective,adj_intelligence,dull / slow-witted,のろまな,
talento,ceb,adjective,adj_intelligence,talented,才能ある,
matahum,ceb,adjective,adj_beauty,beautiful,美しい・きれい,
gwapo,ceb,adjective,adj_beauty,handsome,ハンサム,
mangil-ad,ceb,adjective,adj_beauty,ugly,醜い,
batan-on pa,ceb,adjective,adj_age,young / still young,若い,
tigulang na,ceb,adjective,adj_age,old / elderly,年を取った,
karaan,ceb,adjective,adj_age,ancient / antique,古代の,
moderno,ceb,adjective,adj_age,modern,現代の,
bag-ong,ceb,adjective,adj_age,newly / fresh (adjectival),新しい,
mahal,ceb,adjective,adj_status,expensive / dear,高い・愛しい,
barato,ceb,adjective,adj_status,cheap / affordable,安い,
dato,ceb,adjective,adj_status,rich / wealthy,お金持ち,
kabos,ceb,adjective,adj_status,poor,貧しい,
libre,ceb,adjective,adj_status,free (no cost),無料,
lokal,ceb,adjective,adj_status,local,ローカル・地域の,
nasyonal,ceb,adjective,adj_status,national,国家の,
internasyonal,ceb,adjective,adj_status,international,国際的な,
pribado,ceb,adjective,adj_status,private,プライベート,
publiko,ceb,adjective,adj_status,public,公共の,
ordinaryo,ceb,adjective,adj_status,ordinary,普通の,
pormal,ceb,adjective,adj_status,formal,フォーマル,
suko,ceb,adjective,emotions_negative,angry,怒っている,
malipayon,ceb,adjective,emotions_positive,happy,幸せな,
masulob-on,ceb,adjective,emotions_negative,sad,悲しい,
hadlok,ceb,adjective,emotions_negative,afraid / scared,怖い,
maaghop,ceb,adjective,adj_character_good,gentle / meek,穏やかな,
paspas,ceb,adjective,adverbs_manner,fast,速い,
hinay,ceb,adjective,adverbs_manner,slow,遅い,
paborito,ceb,adjective,adj_character_good,favorite,好きな・お気に入り,
paborable,ceb,adjective,adj_character_good,favorable,肯定的,
lakaw,ceb,verb,verbs_walking,walk,歩く,
dagan,ceb,verb,verbs_walking,run,走る,
lupad,ceb,verb,verbs_walking,fly,飛ぶ,
lumangoy,ceb,verb,verbs_walking,swim,泳ぐ,
saka,ceb,verb,verbs_walking,go up / climb,登る,
kanaog,ceb,verb,verbs_walking,go down,降りる,
lumpat,ceb,verb,verbs_walking,jump,飛ぶ・跳ねる,
gulilas,ceb,verb,verbs_walking,slip / slide,滑る,
tunob,ceb,verb,verbs_walking,step on,踏む,
adto,ceb,verb,verbs_transit,go (to a place),行く,
balik,ceb,verb,verbs_transit,return / go back,戻る,
panaw,ceb,verb,verbs_transit,depart / leave,発つ・離れる,
abot,ceb,verb,verbs_transit,arrive / reach,着く,
sulod,ceb,verb,verbs_transit,enter,入る,
gawas,ceb,verb,verbs_transit,exit / go out,出る,
hatod,ceb,verb,verbs_transit,deliver / escort,届ける,
dala,ceb,verb,verbs_transit,bring / carry,運ぶ・持ってくる,
gikan,ceb,verb,verbs_transit,come from,来る・〜から来る,
kuha,ceb,verb,verbs_hands,get / take / pick up,取る,
hatag,ceb,verb,verbs_hands,give,上げる・くれる,
buhat,ceb,verb,verbs_hands,do / make,する・作る,
ayos,ceb,verb,verbs_hands,fix / repair / arrange,直す,
abli,ceb,verb,verbs_hands,open,開ける,
sirado,ceb,verb,verbs_hands,close,閉める,
punit,ceb,verb,verbs_hands,pick / pluck,摘む,
hugas,ceb,verb,verbs_hands,wash (dishes),洗う,
butang,ceb,verb,verbs_hands,put / place,置く,
kuot,ceb,verb,verbs_hands,reach into / scoop,掬う,
tan-aw,ceb,verb,verbs_head_face,look / watch,見る,
pamati,ceb,verb,verbs_head_face,listen / hear,聞く,
basa,ceb,verb,verbs_head_face,read,読む,
kaon,ceb,verb,verbs_head_face,eat,食べる,
inum,ceb,verb,verbs_head_face,drink,飲む,
ngisi,ceb,verb,verbs_head_face,smile,ほほ笑む,
katawa,ceb,verb,verbs_head_face,laugh,笑う,
hilak,ceb,verb,verbs_head_face,cry,泣く,
halok,ceb,verb,verbs_head_face,kiss,キスする,
nganit,ceb,verb,verbs_head_face,bite,かむ,
lango,ceb,verb,verbs_head_face,smell / sniff,においをかぐ,
lingkod,ceb,verb,verbs_body_motion,sit,座る,
tindog,ceb,verb,verbs_body_motion,stand,立つ,
higda,ceb,verb,verbs_body_motion,lie down,横になる,
tulog,ceb,verb,verbs_body_motion,sleep,寝る,
bangon,ceb,verb,verbs_body_motion,wake up / get up,起きる,
liko,ceb,verb,verbs_body_motion,turn,曲がる,
libot,ceb,verb,verbs_body_motion,go around / tour,回る,
linya,ceb,verb,verbs_body_motion,line up,並ぶ,
sulti,ceb,verb,verbs_speaking,speak / say,話す・言う,
tubag,ceb,verb,verbs_speaking,answer / reply,答える,
mangutana,ceb,verb,verbs_speaking,ask a question,聞く・尋ねる,
sumbong,ceb,verb,verbs_speaking,report / complain,訴える,
tawag,ceb,verb,verbs_speaking,call,呼ぶ,
balita,ceb,verb,verbs_speaking,announce / tell news,伝える,
sugilanon,ceb,verb,verbs_speaking,tell a story,話をする,
panid,ceb,verb,verbs_speaking,page / turn page,ページをめくる,
sulat,ceb,verb,verbs_written,write,書く,
drowing,ceb,verb,verbs_written,draw,絵を書く,
marka,ceb,verb,verbs_written,mark / grade,印をつける,
dawat,ceb,verb,verbs_expression,receive / accept,受ける,
sugot,ceb,verb,verbs_expression,agree / consent,同意する,
pasaylo,ceb,verb,verbs_expression,forgive / apologize,許す・謝る,
pasalamat,ceb,verb,verbs_expression,be grateful / thank,感謝する,
huna-huna,ceb,verb,verbs_expression,think,考える,
hinumdoman,ceb,verb,verbs_expression,remember,思い出す,
kalimtan,ceb,verb,verbs_expression,forget,忘れる,
handum,ceb,verb,verbs_expression,wish / dream of,願う・夢見る,
pili,ceb,verb,verbs_expression,choose / select,選ぶ,
plano,ceb,verb,verbs_expression,plan,計画する,
sulayi,ceb,verb,verbs_expression,try / attempt,試す,
huwat,ceb,verb,verbs_expression,wait,待つ,
lingaw,ceb,verb,verbs_expression,enjoy / have fun,楽しむ,
angkon,ceb,verb,verbs_expression,claim / own,主張する,
tabang,ceb,verb,verbs_social_comm,help,助ける,
ampo,ceb,verb,verbs_social_comm,pray,祈る,
bisita,ceb,verb,verbs_social_comm,visit,訪問する,
trabaho,ceb,verb,verbs_social_comm,work,働く,
laro,ceb,verb,verbs_social_comm,play,遊ぶ,
inumin,ceb,verb,verbs_social_comm,drink together,一緒に飲む,
luto,ceb,verb,verbs_cooking,cook,料理する,
ihaw,ceb,verb,verbs_cooking,grill / roast,焼く,
lutoon,ceb,verb,verbs_cooking,boil,茹でる,
pritohon,ceb,verb,verbs_cooking,fry,揚げる・炒める,
timan,ceb,verb,verbs_cooking,taste / season,味見する,
tanom,ceb,verb,verbs_farming,plant / sow,植える,
ani,ceb,verb,verbs_farming,harvest,収穫する,
abono,ceb,verb,verbs_farming,fertilize,肥料をやる,
uma,ceb,verb,verbs_farming,farm / till,耕す,
pukot,ceb,verb,verbs_fishing,cast a net,網を投げる,
baligya,ceb,verb,verbs_trade,sell,売る,
palita,ceb,verb,verbs_trade,buy,買う,
bayad,ceb,verb,verbs_trade,pay,払う,
utang,ceb,verb,verbs_trade,borrow / owe,借りる,
laba,ceb,verb,verbs_cleaning,wash (laundry),洗濯する,
limpyo,ceb,verb,verbs_cleaning,clean,掃除する,
walis,ceb,verb,verbs_cleaning,sweep,掃く,
ayos,ceb,verb,verbs_repair,repair / fix,直す,
tukod,ceb,verb,verbs_building,build / construct,建てる,
atiman,ceb,verb,verbs_caring,take care of,世話をする,
palaki,ceb,verb,verbs_caring,raise / bring up,育てる,
usab,ceb,verb,verbs_change,change / do again,変える,
sugod,ceb,verb,verbs_start_stop,start / begin,始める,
tapus,ceb,verb,verbs_start_stop,finish / end,終わる,
undang,ceb,verb,verbs_start_stop,stop,止まる・やめる,
aduna,ceb,verb,verbs_exist_have,there is / have,ある・いる,
wala,ceb,verb,verbs_exist_have,there is not / none,ない・いない,
mahimong,ceb,verb,verbs_become,become,なる,
tuon,ceb,verb,education_school,study,勉強する,
tudlo,ceb,verb,education_school,teach,教える,
awit,ceb,verb,music_arts,sing,歌う,
sayaw,ceb,verb,music_arts,dance,踊る,
lumba,ceb,verb,sports_local,race / compete,競争する,
maayo,ceb,adverb,adverbs_manner,well / nicely,うまく,
daotan,ceb,adverb,adverbs_manner,badly,悪く,
